2021-06-26 16:13:28.711 [main] INFO  com.yiyi.BamsBootApplication - No active profile set, falling back to default profiles: default
2021-06-26 16:13:29.847 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-26 16:13:29.852 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-26 16:13:29.900 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2021-06-26 16:13:30.318 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=473788a6-7212-3c57-981c-0c4728d7df5e
2021-06-26 16:13:30.929 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9020 (http)
2021-06-26 16:13:30.941 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9020"]
2021-06-26 16:13:30.942 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-26 16:13:30.942 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-06-26 16:13:31.029 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-26 16:13:31.029 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2265 ms
2021-06-26 16:13:31.132 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:13:31.154 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4519f676
2021-06-26 16:13:31.887 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-26 16:13:32.190 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-26 16:13:33.114 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-06-26 16:13:33.160 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2021-06-26 16:13:33.227 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2021-06-26 16:13:33.450 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2021-06-26 16:13:33.450 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2021-06-26 16:13:33.598 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2021-06-26 16:13:33.598 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2021-06-26 16:13:34.012 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-06-26 16:13:34.093 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:13:34.094 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:13:38.276 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2021-06-26 16:13:38.279 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-06-26 16:13:38.283 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1624695218282 with initial instances count: 0
2021-06-26 16:13:38.285 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application YIYI-BAMS-BOOT with eureka with status UP
2021-06-26 16:13:38.286 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1624695218286, current=UP, previous=STARTING]
2021-06-26 16:13:38.290 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:13:38.310 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9020"]
2021-06-26 16:13:38.350 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9020 (http) with context path ''
2021-06-26 16:13:38.351 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9020
2021-06-26 16:13:38.450 [main] INFO  com.yiyi.BamsBootApplication - Started BamsBootApplication in 11.421 seconds (JVM running for 12.672)
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:14:08.279 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:14:12.413 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:14:42.398 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:14:42.398 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:14:42.398 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:14:42.398 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:14:42.398 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:14:42.399 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:14:42.399 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-06-26 16:15:56.255 [main] INFO  com.yiyi.BamsBootApplication - The following profiles are active: springboot
2021-06-26 16:15:57.239 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-26 16:15:57.242 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-26 16:15:57.287 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
2021-06-26 16:15:57.707 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=473788a6-7212-3c57-981c-0c4728d7df5e
2021-06-26 16:15:58.406 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9020 (http)
2021-06-26 16:15:58.424 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9020"]
2021-06-26 16:15:58.425 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
