2021-02-18 21:10:45.726 [main] INFO  com.yiyi.BamsBootApplication - No active profile set, falling back to default profiles: default
2021-02-18 21:10:47.250 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-18 21:10:47.256 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-02-18 21:10:47.302 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2021-02-18 21:10:48.280 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=64445c5c-3760-347f-a9a3-384de07cca52
2021-02-18 21:10:49.712 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9020 (http)
2021-02-18 21:10:49.744 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9020"]
2021-02-18 21:10:49.745 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-02-18 21:10:49.746 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2021-02-18 21:10:50.116 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-02-18 21:10:50.116 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4349 ms
2021-02-18 21:10:50.372 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-02-18 21:10:50.411 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6413d7e7
2021-02-18 21:10:52.089 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-02-18 21:10:52.584 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-18 21:10:53.949 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-02-18 21:10:54.002 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2021-02-18 21:10:54.118 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2021-02-18 21:10:54.720 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2021-02-18 21:10:54.721 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2021-02-18 21:10:55.007 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2021-02-18 21:10:55.008 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2021-02-18 21:10:55.564 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-02-18 21:10:55.786 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-02-18 21:10:55.786 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-02-18 21:10:55.786 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-02-18 21:10:55.786 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-02-18 21:10:55.786 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-02-18 21:10:55.787 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-02-18 21:10:55.787 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2021-02-18 21:10:56.065 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2021-02-18 21:10:56.069 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2021-02-18 21:10:56.074 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-02-18 21:10:56.085 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1613653856080 with initial instances count: 0
2021-02-18 21:10:56.088 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application YIYI-BAMS-BOOT with eureka with status UP
2021-02-18 21:10:56.089 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1613653856089, current=UP, previous=STARTING]
2021-02-18 21:10:56.094 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/SD-20201030MFVJ:yiyi-bams-boot:9020: registering service...
2021-02-18 21:10:56.145 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9020"]
2021-02-18 21:10:56.254 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9020 (http) with context path ''
2021-02-18 21:10:56.323 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9020
2021-02-18 21:10:56.648 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/SD-20201030MFVJ:yiyi-bams-boot:9020 - registration status: 204
2021-02-18 21:10:57.278 [main] INFO  com.yiyi.BamsBootApplication - Started BamsBootApplication in 15.042 seconds (JVM running for 16.612)
2021-02-18 21:11:17.758 [http-nio-9020-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-02-18 21:11:17.758 [http-nio-9020-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-02-18 21:11:17.768 [http-nio-9020-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
